# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	6296
#@/user_id	f9354129-e4a8-46a3-a49d-309797c018cb
a 	啊	c=29 d=2.32019 t=6251
qi yu 	其餘	c=1 d=1 t=5618
qi zhong 	其中	c=2 d=1.93707 t=2016
qi zhong yi ge 	其中一個	c=3 d=1 t=6022
qian 	前	c=5 d=1.10783 t=6025
qian 	淺	c=1 d=1 t=3902
qian 	錢	c=3 d=0.952152 t=6276
qian dao 	嵌到	c=1 d=1 t=5998
qian de 	淺的	c=0 d=0.1 t=4697
qian duan 	前端	c=8 d=1.98603 t=5657
qian hong 	淺紅	c=1 d=1 t=4785
qian liang ci 	前兩次	c=1 d=1 t=3688
qian mian 	前面	c=3 d=1.12369 t=5720
qian ru 	嵌入	c=1 d=1 t=437
qian tao 	嵌套	c=1 d=1.09802 t=4934
qian tao le 	嵌套了	c=1 d=1 t=4931
qian tian 	前天	c=1 d=1 t=4904
qian yi 	遷移	c=2 d=0.627292 t=5920
qian yi ge 	前一個	c=2 d=1 t=4085
qian zhui 	前綴	c=3 d=1.23075 t=2590
qiang ge 	強哥	c=3 d=1.51845 t=3499
qie 	且	c=1 d=1 t=5751
qie 	切	c=1 d=1 t=5702
qie gu 	切骨	c=0 d=0.1 t=6165
qie gu tou 	切骨頭	c=2 d=1.87372 t=6193
qie huan 	切換	c=6 d=1.00077 t=3943
qie huan dao 	切換到	c=1 d=1 t=3976
qie huan qi 	切換器	c=1 d=1 t=2165
qie le 	切了	c=1 d=1 t=6203
qin zi 	親自	c=1 d=1 t=4690
qing 	請	c=3 d=1.0732 t=5810
qing 	青	c=1 d=1 t=6055
qing bang mang 	請幫忙	c=1 d=1 t=2605
qing bang wo 	請幫我	c=1 d=1 t=120
qing bang zhu wo 	請幫助我	c=1 d=1 t=227
qing bao zheng 	請保證	c=1 d=1 t=5156
qing cha ming 	請查明	c=1 d=1 t=5738
qing chu 	清楚	c=1 d=0.709571 t=6209
qing de 	請的	c=1 d=1 t=5821
qing gei wo 	請給我	c=1 d=1 t=5893
qing jia 	請假	c=1 d=1 t=5630
qing kuang 	情況	c=6 d=1.03613 t=5593
qing kuang ke yong 	情況可用	c=1 d=1 t=1239
qing kuang xia 	情況下	c=1 d=1 t=5826
qing ni 	請你	c=3 d=1.00188 t=5893
qing qiu 	請求	c=5 d=0.105038 t=5745
qing qiu le 	請求了	c=1 d=1 t=5746
qing qiu shi 	請求時	c=1 d=1 t=5122
qing wen 	請問	c=1 d=1 t=3395
qing xi 	清晰	c=1 d=1 t=2873
qing xiu fu 	請修復	c=3 d=1.00159 t=2902
qing yong 	請用	c=1 d=1 t=295
qing yong zhong wen 	請用中文	c=1 d=1 t=234
qu 	去	c=11 d=2.11426 t=6256
qu 	取	c=1 d=1 t=2169
qu bie 	區別	c=5 d=2.07443 t=6090
qu bu qu 	去不去	c=1 d=1 t=2951
qu dao le 	去到了	c=1 d=1 t=21
qu diao 	去掉	c=5 d=1.00037 t=6332
qu fen 	區分	c=1 d=0.1 t=6091
qu fen chu 	區分出	c=0 d=0.1 t=4547
qu fen chu le 	區分出了	c=1 d=1 t=4548
qu fen du 	區分度	c=2 d=1.00046 t=6077
qu hang zhou wan 	去杭州玩	c=1 d=1 t=6237
qu jian 	區間	c=1 d=1 t=5754
qu jue yu 	取決於	c=1 d=1 t=4209
qu le 	去了	c=3 d=1 t=6235
qu lv suo 	去律所	c=1 d=1 t=6161
qu na 	去哪	c=0 d=0.1 t=2982
qu na 	去拿	c=1 d=1 t=939
qu na li 	去哪裏	c=2 d=1.00014 t=3391
qu na wan 	去哪玩	c=1 d=1 t=2983
qu nian 	去年	c=1 d=1 t=4772
qu yu 	區域	c=1 d=1 t=4658
qu zhao 	去找	c=1 d=1 t=3506
qu zhe li 	去這裏	c=1 d=1 t=4372
qu zheng 	取整	c=1 d=1 t=4831
qu zuo 	去做	c=1 d=1 t=5682
quan 	全	c=1 d=0.606323 t=5859
quan bu 	全不	c=0 d=0.1 t=2929
quan bu 	全部	c=8 d=1.52081 t=5764
quan bu xin xi 	全部信息	c=1 d=1 t=3054
quan bu xuan 	全不選	c=1 d=1 t=2930
quan bu xuan 	全部選	c=1 d=1 t=1919
quan cheng 	全程	c=1 d=1 t=552
quan dou 	全都	c=1 d=1 t=4526
quan fang wai mian 	全放外面	c=1 d=1 t=5860
quan guo 	全國	c=1 d=1 t=4806
quan ju 	全局	c=2 d=1.10076 t=465
quan qiu 	全球	c=1 d=1 t=3287
quan sai jin 	全塞進	c=1 d=1 t=5833
quan shi 	全市	c=1 d=1 t=5000
quan shi 	全是	c=1 d=1 t=5001
quan xian 	權限	c=7 d=2.97718 t=5449
quan xian wen ti 	權限問題	c=1 d=1 t=4443
quan xuan 	全選	c=3 d=1.35958 t=2933
quan zu 	全組	c=1 d=1 t=5929
que 	卻	c=1 d=1 t=3558
que bao 	確保	c=1 d=1 t=4279
que ding 	確定	c=1 d=1 t=2929
que ge 	缺個	c=1 d=1 t=4099
que ren 	確認	c=3 d=1.89583 t=5603
que ren yi xia 	確認一下	c=2 d=1.22313 t=2961
que shi 	確實	c=3 d=1.13199 t=5462
qun 	羣	c=0 d=0.1 t=5642
qun li 	羣裏	c=1 d=1 t=3354
ran hou 	然後	c=30 d=1.62074 t=6331
rang 	讓	c=13 d=1.88626 t=5878
rang ni 	讓你	c=2 d=1.19109 t=4802
rang ren 	讓人	c=1 d=1.03535 t=5255
rang ta 	讓他	c=2 d=1.99091 t=4814
rang ta men 	讓他們	c=1 d=1 t=4952
rang wo 	讓我	c=3 d=1.00001 t=5574
rang wo men 	讓我們	c=1 d=1 t=1167
rang yong hu 	讓用戶	c=1 d=1 t=4871
rang zhe 	讓這	c=0 d=0.1 t=1277
rang zhe li 	讓這裏	c=1 d=1 t=1278
ren 	人	c=5 d=1.14025 t=5949
ren bu 	人不	c=0 d=0.1 t=6035
ren bu zai 	人不在	c=1 d=1 t=6036
ren he 	任何	c=2 d=0.43454 t=6090
ren he qu bie 	任何區別	c=1 d=1 t=6091
ren he yi xiang 	任何一項	c=1 d=1 t=81
ren ming 	人名	c=0 d=0.1 t=4027
ren shi 	認識	c=1 d=1 t=2964
ren shu 	人數	c=1 d=1 t=5425
ren wu 	任務	c=1 d=1 t=5493
ren zi ji 	人自己	c=0 d=0.1 t=4674
ren zi ji dian de 	人自己點的	c=1 d=1 t=4675
reng 	仍	c=1 d=0.107789 t=3841
reng dao 	扔到	c=1 d=1 t=5865
reng xu yao 	仍需要	c=1 d=1 t=3842
ri 	日	c=2 d=1.98511 t=4446
ri qi 	日期	c=2 d=1.9802 t=5325
ri zhi 	日誌	c=0 d=0.1 t=3239
ri zhi xi tong 	日誌系統	c=1 d=1 t=3240
rong qi 	容器	c=1 d=1 t=5800
ru 	如	c=2 d=1.04807 t=1975
ru guo 	如果	c=17 d=3.0361 t=5704
ru guo ke yi 	如果可以	c=1 d=1 t=249
ru guo ni 	如果你	c=1 d=1 t=185
ru guo shi 	如果是	c=1 d=1.00001 t=5781
ru guo wo 	如果我	c=2 d=1.07847 t=2811
ru he 	如何	c=24 d=2.21798 t=6292
ru xia 	如下	c=2 d=1.00053 t=2749
rui er 	瑞爾	c=1 d=1 t=3290
sai 	塞	c=1 d=1 t=3188
sai 	賽	c=1 d=1 t=3185
sai jin 	塞進	c=0 d=0.1 t=5832
san 	三	c=2 d=1 t=4647
san bu 	散步	c=1 d=1 t=3508
san ge 	三個	c=4 d=1.03391 t=2894
san ge dian 	三個點	c=1 d=1 t=2074
san ge jian yi 	三個建議	c=1 d=1 t=91
san ge xiao shi 	三個小時	c=1 d=1 t=606
san ge yue 	三個月	c=1 d=1 t=1155
san ji 	三級	c=1 d=1 t=2685
san ju hua 	三句話	c=1 d=1 t=1892
san lei 	三類	c=1 d=1 t=2210
san shi 	三十	c=0 d=0.1 t=6223
san shi lai sui 	三十來歲	c=1 d=1 t=6224
san si 	三四	c=0 d=0.1 t=595
san si dian le 	三四點了	c=1 d=1 t=596
san tian 	三天	c=4 d=1 t=6285
san tian nei 	三天內	c=1 d=1 t=4633
san wei 	三位	c=1 d=1 t=5500
san wei shu 	三位數	c=1 d=1 t=2440
san zhe 	三者	c=1 d=1 t=125
san zhong 	三種	c=2 d=1.9802 t=1020
san zhou 	三週	c=1 d=1 t=5101
se se 	色色	c=2 d=1.96079 t=2064
se xi 	色系	c=13 d=6.20986 t=6062
sha 	啥	c=2 d=1.28898 t=6249
sha bi 	傻逼	c=1 d=1 t=6090
sha de 	啥的	c=1 d=1 t=3675
sha dou bu zhi dao 	啥都不知道	c=1 d=1 t=5952
sha fa 	沙發	c=1 d=1 t=3674
sha shi 	啥事	c=1 d=1 t=4796
sha shi hou 	啥時候	c=1 d=1 t=6020
sha wen ti 	啥問題	c=1 d=1.01505 t=568
sha ye bu qie huan 	啥也不切換	c=1 d=1 t=2178
shai xuan 	篩選	c=4 d=2.02646 t=3543
shan 	刪	c=2 d=1 t=5714
shan chu 	刪除	c=4 d=1 t=5788
shan chu hou 	刪除後	c=1 d=1 t=2067
shan chu le 	刪除了	c=1 d=1 t=2081
shan le 	刪了	c=1 d=1 t=5235
shan yi hang 	刪一行	c=1 d=1 t=620
shan yi xia 	刪一下	c=1 d=1 t=64
shang 	上	c=31 d=2.25502 t=6162
shang bai ge 	上百個	c=1 d=1 t=2269
shang ban 	上班	c=2 d=1.00013 t=5115
shang bu qu 	上不去	c=0 d=0.1 t=5818
shang bu qu le 	上不去了	c=1 d=1 t=5819
shang cheng 	上城	c=1 d=1 t=6197
shang ci 	上次	c=4 d=0.403797 t=6264
shang ci jian ta 	上次見他	c=1 d=1 t=6265
shang ci na ge 	上次那個	c=1 d=1 t=5558
shang ci ye mei 	上次也沒	c=1 d=1 t=6003
shang de 	上的	c=2 d=1 t=4162
shang fang 	上方	c=2 d=1 t=3909
shang ge 	上個	c=1 d=1 t=5331
shang hai 	上海	c=2 d=1.57984 t=6219
shang hai le 	上海了	c=1 d=1 t=2487
shang hua 	上滑	c=1 d=1 t=3769
shang le 	上了	c=2 d=1.96561 t=5346
shang mian 	上面	c=2 d=1 t=5788
shang qu 	上去	c=2 d=0.101275 t=5037
shang shang zhou 	上上週	c=4 d=1.00001 t=6163
shang wu 	上午	c=3 d=0.99396 t=4024
shang xia wen 	上下文	c=1 d=1.06079 t=1858
shang yi ge 	上一個	c=1 d=1.00017 t=5047
shang yi ge shi bai le 	上一個失敗了	c=1 d=1 t=3773
shang zhou 	上週	c=2 d=1 t=5677
shao bu fen 	少部分	c=1 d=1 t=4523
shao le 	少了	c=1 d=1 t=5692
shao wei 	稍微	c=1 d=1 t=5272
shao xie 	少些	c=1 d=1 t=1888
shao zuo 	稍作	c=0 d=0.1 t=4250
shao zuo xiu gai 	稍作修改	c=1 d=1 t=4251
she ji 	涉及	c=2 d=1 t=5958
she ji 	設計	c=5 d=3.83734 t=5885
she me 	什麼	c=0 d=0.1 t=2741
she qu 	社區	c=1 d=1.04819 t=1324
she qu ban 	社區版	c=1 d=1 t=1179
she zhi 	攝制	c=1 d=1 t=4873
she zhi 	設置	c=8 d=2.18741 t=5854
she zhi de 	設置的	c=1 d=0.251072 t=5016
she zhi de shi 	設置的是	c=1 d=1 t=5017
shen 	深	c=1 d=1 t=6065
shen cai 	身材	c=1 d=1 t=6310
shen du 	深度	c=1 d=1 t=1389
shen hong 	深紅	c=1 d=1 t=4783
shen me 	什麼	c=27 d=3.26586 t=6249
shen me de 	什麼的	c=1 d=1 t=2045
shen me di fang 	什麼地方	c=1 d=1 t=5873
shen me jue se 	什麼角色	c=1 d=1 t=4971
shen me le 	什麼了	c=1 d=1 t=5909
shen me shi hou 	什麼時候	c=2 d=1 t=6091
shen me tai du 	什麼態度	c=1 d=1 t=3961
shen me yang 	什麼樣	c=1 d=1 t=86
shen me yang de 	什麼樣的	c=1 d=1 t=3751
shen qing 	申請	c=8 d=1.47627 t=5760
shen qing de shi hou 	申請的時候	c=1 d=1 t=2559
shen qing fang shi ma 	申請方式嗎	c=1 d=1 t=5182
shen qing hou 	申請後	c=1 d=1 t=5221
shen qing ji lu 	申請記錄	c=1 d=1 t=4163
shen qing le 	申請了	c=1 d=0.123873 t=2542
shen qing zhe ge 	申請這個	c=1 d=1 t=5220
shen zhi 	甚至	c=1 d=0.100013 t=5760
sheng 	昇	c=1 d=1 t=3219
sheng cheng 	生成	c=7 d=1.00084 t=5783
sheng de 	省得	c=2 d=1.95123 t=5347
sheng le 	升了	c=1 d=1 t=3949
sheng lve hao 	省略號	c=2 d=1.00057 t=5850
sheng ming 	聲明	c=1 d=1 t=418
sheng nei 	省內	c=2 d=1.97045 t=4820
sheng xia 	剩下	c=1 d=1 t=6182
sheng xia de 	剩下的	c=1 d=1 t=2224
sheng yin 	聲音	c=1 d=1 t=3953
sheng yu 	剩餘	c=1 d=1 t=4459
shi 	事	c=3 d=1.0187 t=4478
shi 	使	c=5 d=2.66533 t=5809
shi 	是	c=106 d=4.98156 t=6254
shi 	時	c=10 d=1.14487 t=6290
shi a 	是啊	c=1 d=1 t=5071
shi ba 	是吧	c=3 d=1 t=5407
shi bai 	失敗	c=2 d=1.00795 t=6042
shi bai le 	失敗了	c=3 d=1.00056 t=5963
shi bei 	是被	c=1 d=1 t=4002
shi bi xu 	是必須	c=1 d=1 t=6255
shi bu shi 	是不是	c=17 d=2.07742 t=5752
shi dai ma 	是代碼	c=1 d=1 t=5403
shi de 	是的	c=20 d=1.75798 t=6224
shi fen zhong 	十分鐘	c=0 d=0.1 t=2075
shi fou 	是否	c=9 d=1.94675 t=3482
shi fou xu yao 	是否需要	c=1 d=1 t=413
shi fou you yi yi 	是否有意義	c=1 d=1 t=1793
shi gan ma 	是幹嘛	c=1 d=1 t=5648
shi ge 	是個	c=0 d=0.1 t=3080
shi ge sha 	是個啥	c=1 d=1 t=3081
shi gou 	是夠	c=0 d=0.1 t=2897
shi gou de 	是夠的	c=1 d=1 t=2898
shi hou 	時候	c=19 d=1.30796 t=6057
shi hui bei 	是會被	c=1 d=1 t=3282
shi ji 	實際	c=2 d=1 t=4980
shi ji er shi 	十幾二十	c=0 d=0.1 t=5216
shi ji er shi fen zhong de 	十幾二十分鐘的	c=1 d=1 t=5217
shi ji shang 	實際上	c=1 d=1 t=3905
shi jia 	試駕	c=1 d=1 t=4678
shi jian 	事件	c=2 d=1 t=3091
shi jian 	實踐	c=1 d=1 t=5734
shi jian 	時間	c=11 d=0.367615 t=6014
shi jian le 	時間了	c=2 d=1.93239 t=5261
shi jian tai jin le 	時間太緊了	c=1 d=1 t=585
shi jian zuo de 	時間做的	c=1 d=1 t=4188
shi kao 	是靠	c=1 d=1 t=6203
shi ke yi 	是可以	c=2 d=1.22878 t=3954
shi le 	試了	c=0 d=0.1 t=4025
shi le ji ci 	試了幾次	c=1 d=1 t=4026
shi le yi xia 	試了一下	c=1 d=1 t=3042
shi li 	示例	c=1 d=1 t=2409
shi ling yi ge 	是另一個	c=1 d=1 t=644
shi liu jin zhi 	十六進制	c=1 d=1 t=4775
shi ma 	是嗎	c=1 d=1 t=5379
shi mei wen ti 	是沒問題	c=1 d=1 t=2325
shi mei you 	是沒有	c=1 d=1 t=378
shi na dao le 	是拿到了	c=1 d=1 t=762
shi na li 	是哪裏	c=1 d=1 t=4441
shi neng 	使能	c=0 d=0.1 t=3504
shi ni de 	是你的	c=1 d=1 t=4751
shi ni men 	是你們	c=1 d=1 t=3035
shi ni na li 	是你那裏	c=1 d=1 t=4062
shi pin 	視頻	c=0 d=0.101398 t=6323
shi qi 	使其	c=1 d=1 t=5154
shi qing 	事情	c=1 d=0.100003 t=5581
shi qu 	時區	c=1 d=1 t=5333
shi ren 	是人	c=1 d=1 t=2189
shi ru he 	是如何	c=1 d=1 t=146
shi shen me 	是什麼	c=14 d=2.95557 t=5982
shi shi 	實時	c=1 d=1 t=4981
shi shi 	試試	c=6 d=0.231712 t=5703
shi shui 	是誰	c=1 d=1 t=5947
shi ta 	使它	c=2 d=1.9802 t=5733
shi tong yi pi 	是同一批	c=1 d=1 t=4026
shi wo 	是我	c=2 d=1.00142 t=2027
shi xian 	實現	c=10 d=1.00014 t=4645
shi xian de 	實現的	c=1 d=1 t=1220
shi yan 	實驗	c=1 d=1 t=1668
shi yao 	是要	c=2 d=1 t=5263
shi yao gei 	是要給	c=1 d=1 t=1561
shi yi ge 	十一哥	c=1 d=1 t=3088
shi yi ge 	是一個	c=1 d=1 t=5648
shi yi xia 	試一下	c=2 d=1.70469 t=3303
shi yin wei 	是因爲	c=2 d=1 t=5159
shi ying 	適應	c=1 d=1 t=2125
shi yong 	使用	c=58 d=10.1821 t=6091
shi yong 	是用	c=0 d=0.1 t=2138
shi yong de 	使用的	c=1 d=1 t=140
shi yong de 	是用的	c=1 d=1 t=2139
shi yong lai 	是用來	c=1 d=1 t=1675
shi yong le 	使用了	c=1 d=1 t=1788
shi you de 	是有的	c=1 d=1 t=736
shi zai 	是在	c=0 d=0.1 t=6383
shi zai yong de 	是在用的	c=1 d=1 t=6384
shi zen me 	是怎麼	c=3 d=1.00696 t=5394
shi zen yang 	是怎樣	c=1 d=1 t=2939
shi zen yang de 	是怎樣的	c=1 d=1 t=5499
shi zhao ta 	是找他	c=1 d=1 t=6189
shi zhe yang 	是這樣	c=2 d=1.00033 t=6199
shi zhe zhou ma 	是這週嗎	c=1 d=1 t=850
shi zheng chang 	是正常	c=1 d=1 t=1371
shi zhong 	始終	c=1 d=1 t=1929
shi zhou liu 	是週六	c=1 d=1 t=3321
shou dao le 	收到了	c=1 d=1 t=4995
shou dong 	手動	c=4 d=0.100018 t=5929
shou dong chuang jian 	手動創建	c=1 d=1 t=3311
shou fei 	收費	c=0 d=0.1 t=1727
shou fei ma 	收費嗎	c=1 d=1 t=1728
shou ge 	首個	c=1 d=1 t=3812
shou shang 	手上	c=0 d=0.1 t=1048
shou shu 	手術	c=1 d=1 t=6222
shou xian 	首先	c=1 d=1 t=3536
shou yao 	首要	c=0 d=0.1 t=2530
shou yao de 	首要的	c=1 d=1 t=2531
shu 	束	c=1 d=1 t=6132
shu 	樹	c=0 d=0.1 t=4137
shu jia 	暑假	c=1 d=1 t=5557
shu ju 	數據	c=46 d=0.20823 t=6399
shu ju jie gou 	數據結構	c=2 d=1.00002 t=2833
shu ju lai yuan 	數據來源	c=1 d=1 t=2228
shu ju le 	數據了	c=1 d=1 t=726
shu ju ma 	數據嗎	c=1 d=1 t=729
shu ju zhong 	數據中	c=1 d=1 t=982
shu liang 	數量	c=3 d=1.00002 t=4610
shu ru 	輸入	c=1 d=1 t=6033
shu shi 	舒適	c=0 d=0.1 t=3608
shu xing 	屬性	c=3 d=1.49659 t=4365
shu ye 	樹葉	c=0 d=0.1 t=6054
shu yu 	屬於	c=3 d=0.711158 t=4824
shu zhe 	豎着	c=1 d=1 t=5593
shu zhi 	數值	c=1 d=1 t=2363
shu zi 	數字	c=0 d=0.1 t=411
shu zi shu zu 	數字數組	c=1 d=1 t=412
shu zu 	數組	c=6 d=0.256821 t=6020
shu zu le 	數組了	c=1 d=1 t=4900
shu zu zhong de 	數組中的	c=1 d=1 t=6021
shua xin 	刷新	c=1 d=1 t=4708
shuai a 	帥啊	c=1 d=1 t=1572
shuang fei 	雙非	c=1 d=1 t=6154
shuang zhi 	雙指	c=2 d=1.90032 t=3768
shui 	水	c=1 d=1 t=3169
shui 	睡	c=1 d=1 t=2685
shui 	誰	c=1 d=1 t=4613
shui jiao 	睡覺	c=0 d=0.105393 t=6074
shui jiao dai 	睡覺帶	c=1 d=1 t=6075
shui jiao de 	睡覺的	c=1 d=1 t=6056
shui wu jiao 	睡午覺	c=0 d=0.1 t=4521
shui yi 	睡衣	c=0 d=0.1 t=3606
shun bian 	順便	c=2 d=1 t=3794
shun shou 	順手	c=1 d=1 t=6405
shun xu 	順序	c=1 d=1 t=4625
shun zhe 	順着	c=1 d=1 t=3181
shuo 	碩	c=1 d=1 t=3876
shuo 	說	c=13 d=1.1446 t=6098
shuo chu lai 	說出來	c=1 d=1 t=4023
shuo dao di 	說到底	c=1 d=1 t=5956
shuo de 	說的	c=3 d=1.1655 t=6003
shuo fa 	說法	c=1 d=0.484812 t=3849
shuo guo 	說過	c=1 d=1 t=4930
shuo le 	說了	c=1 d=1 t=1887
shuo ming 	說明	c=5 d=1.00009 t=5872
shuo na ge 	說那個	c=1 d=1 t=105
shuo qi lai 	說起來	c=1 d=1 t=2554
shuo shi 	朔事	c=1 d=1 t=1176
shuo shi 	說是	c=1 d=1 t=1177
shuo shi bi ye 	碩士畢業	c=1 d=1 t=6067
shuo shi hua 	說實話	c=2 d=1 t=5106
si 	四	c=0 d=0.1 t=4643
si dian 	四點	c=0 d=0.1 t=2483
si dian duo 	四點多	c=1 d=1 t=2484
si ge 	四個	c=2 d=1.92312 t=2378
si hu 	似乎	c=1 d=1 t=462
si hua 	絲滑	c=0 d=0.1 t=6400
si jin duo 	四斤多	c=1 d=1 t=3061
si kao 	思考	c=2 d=1.00001 t=2332
si lu 	思路	c=1 d=1 t=4690
si you 	私有	c=0 d=0.1 t=1817
si you han shu 	私有函數	c=2 d=1.00133 t=3142
si yue 	四月	c=1 d=1 t=5653
song 	送	c=2 d=1.00421 t=5907
sou le 	搜了	c=0 d=0.1 t=4366
sou le yi xia 	搜了一下	c=1 d=1 t=4367
sou suo 	搜索	c=2 d=1.87372 t=2221
su 	蘇	c=0 d=0.1 t=5662
su tai gao su 	蘇臺高速	c=10 d=7.17922 t=6047
suan 	算	c=0 d=0.1 t=3885
suan le 	算了	c=4 d=1.00962 t=6409
suan shi 	算是	c=2 d=1.99005 t=3372
suan suan 	算算	c=0 d=0.1 t=3876
sui 	歲	c=1 d=1 t=3897
sui ji 	隨機	c=2 d=0.100258 t=4232
sui ran 	雖然	c=6 d=1.19278 t=6112
sui ran dan shi 	雖然但是	c=1 d=1 t=4603
sui ran shi 	雖然是	c=1 d=1 t=6153
sun 	孫	c=0 d=0.1 t=3657
sun lao ban 	孫老闆	c=1 d=1 t=3658
suo ha 	梭哈	c=1 d=1 t=6079
suo jin 	縮進	c=1 d=1 t=5180
suo ping 	鎖屏	c=1 d=1 t=6038
suo xiao 	縮小	c=2 d=1.00002 t=3770
suo xie 	縮寫	c=2 d=1 t=5503
suo yi 	所以	c=13 d=2.39302 t=6192
suo yin 	索引	c=2 d=1.97045 t=3358
suo you 	所有	c=23 d=2.10825 t=5778
suo you de 	所有的	c=1 d=1 t=4382
suo you ke xuan xiang 	所有可選項	c=1 d=1 t=2776
suo you ren 	所有人	c=1 d=1 t=5046
suo zai 	所在	c=2 d=1.02193 t=2723
ta 	他	c=14 d=1.82611 t=6144
ta 	她	c=4 d=1.18546 t=6166
ta 	它	c=7 d=1.92096 t=5270
ta biang en 	他𰻞恩	c=1 d=1 t=5883
ta de 	他的	c=5 d=1.59554 t=5729
ta de 	她的	c=1 d=1 t=2604
ta de shou 	她的手	c=0 d=0.1 t=3982
ta hai mei 	他還沒	c=1 d=1 t=5753
ta hai shi 	他還是	c=1 d=1 t=3913
ta hai shi ge 	他還是個	c=1 d=1 t=6266
ta hao xiang 	他好像	c=2 d=1.30728 t=3887
ta he 	它和	c=1 d=1 t=5659
ta hui 	他會	c=2 d=1 t=5570
ta jiu 	他就	c=0 d=0.1 t=2067
ta jiu bian cheng 	他就變成	c=1 d=1 t=2068
ta jue de 	他覺得	c=1 d=1 t=2642
ta lai 	它來	c=0 d=0.1 t=5263
ta le 	他了	c=0 d=0.1 t=3939
ta men 	他們	c=10 d=1.00153 t=5490
ta men de 	他們的	c=1 d=1 t=4005
ta qu 	他去	c=0 d=0.1 t=6247
ta qu de 	他去的	c=1 d=1 t=6248
ta que shi 	他確實	c=1 d=1 t=241
ta rang wo 	他讓我	c=2 d=1 t=5579
ta shen me 	他什麼	c=1 d=1 t=3959
ta shi 	他是	c=1 d=1 t=4104
ta shi 	它是	c=4 d=1.00017 t=5598
ta shi shen me dan wei 	它是什麼單位	c=1 d=1 t=3449
ta shuo 	他說	c=0 d=0.1 t=5963
ta xia mian 	它下面	c=1 d=1 t=4837
ta xian shi 	他顯示	c=1 d=1 t=500
ta xiang 	她想	c=0 d=0.1 t=6235
ta xiang zuo 	她想做	c=1 d=1 t=6236
ta yi jing 	他已經	c=1 d=1 t=5781
ta ying gai 	他應該	c=1 d=1 t=2899
ta ying gai shi 	它應該是	c=1 d=1 t=5594
ta you 	他有	c=1 d=1 t=2279
ta you 	它又	c=1 d=1 t=3010
ta you shi hou 	他有時候	c=1 d=1 t=3822
ta zhan kai 	它展開	c=1 d=1 t=4895
ta zhe ge 	他這個	c=3 d=1 t=5499
ta zhi dao 	他知道	c=1 d=1 t=3052
ta zhi ding 	它指定	c=1 d=1 t=4368
ta zhi qian 	她之前	c=1 d=1 t=6216
ta zhi xiang 	他指向	c=1 d=1 t=5700
ta zi ji 	他自己	c=0 d=0.1 t=83
ta zi ji shan 	他自己刪	c=1 d=1 t=84
ta zuo 	他做	c=0 d=0.1 t=3109
ta zuo shi 	他做事	c=1 d=1 t=3110
ta zuo wei 	它作爲	c=1 d=1 t=5622
tai 	太	c=1 d=0.100457 t=6400
tai 	態	c=1 d=1 t=119
tai 	臺	c=0 d=0.1 t=5662
tai bian tai 	太變態	c=1 d=1 t=4242
tai chang le 	太長了	c=1 d=1 t=5397
tai chou xiang le 	太抽象了	c=1 d=1 t=3509
tai da 	太大	c=1 d=1 t=461
tai di le 	太低了	c=1 d=1 t=5250
tai du 	態度	c=0 d=0.1 t=3960
tai duo 	太多	c=0 d=0.1 t=5959
tai duo le 	太多了	c=1 d=1.0802 t=4888
tai duo le a 	太多了啊	c=1 d=1 t=4889
tai ji 	太极	c=1 d=1 t=5955
tai ji quan 	太極拳	c=1 d=1 t=5956
tai jin 	太緊	c=0 d=0.1 t=584
tai jin mi le 	太緊密了	c=1 d=1 t=4169
tai juan le 	太捲了	c=1 d=1 t=2688
tai kuan le 	太寬了	c=1 d=1 t=1288
tai luan 	太亂	c=1 d=1 t=4938
tai qing chu 	太清楚	c=0 d=0.1 t=6003
tai qing chu de 	太清楚的	c=1 d=1 t=6004
tai si hua 	太絲滑	c=1 d=1 t=6401
tai zhao ji 	太着急	c=1 d=1 t=3180
tan chu yi ge 	彈出一個	c=1 d=1 t=2703
tao lun 	討論	c=1 d=1 t=816
te bie de 	特別的	c=0 d=0.1 t=2594
te bie de hua ti 	特別的話題	c=1 d=1 t=2595
te bie shi 	特別是	c=2 d=1 t=4539
te shu 	特殊	c=0 d=0.1 t=3806
te shu chu li 	特殊處理	c=1 d=1 t=3807
ti 	提	c=2 d=1.03159 t=5650
ti chu lai 	提出來	c=1 d=1 t=563
ti dai 	替代	c=0 d=0.1 t=1266
ti dai ban ben 	替代版本	c=1 d=1 t=1267
ti dai pin 	替代品	c=1 d=1 t=1261
ti dao 	提到	c=1 d=0.155855 t=3024
ti dao le 	提到了	c=1 d=1 t=3040
ti gong 	提供	c=1 d=1 t=2545
ti huan 	替換	c=1 d=1 t=5629
ti jian 	體檢	c=4 d=3.97017 t=2255
ti jiao 	提交	c=4 d=3.60453 t=526
ti le 	提了	c=2 d=1 t=4734
ti le yi zui 	提了一嘴	c=1 d=1 t=1884
ti qu 	提取	c=4 d=1.00433 t=6360
ti shi 	提示	c=3 d=1.96275 t=4377
ti xian 	體現	c=1 d=1 t=3971
ti xian chu 	體現出	c=1 d=1 t=3937
ti xian zai 	體現在	c=1 d=1 t=420
ti yan 	體驗	c=1 d=0.186502 t=4688
ti yan guo de 	體驗過的	c=1 d=1 t=4689
ti zhong 	體重	c=2 d=1.9802 t=6297
tian biao 	填表	c=1 d=1 t=3583
